BIN,card_type,issuer_id,card_variant
608011,Credit,ISS001,Classic
608012,Credit,ISS001,Business
608013,Credit,ISS001,Platinum
608021,Credit,ISS002,Classic
608022,Credit,ISS002,Business
608023,Credit,ISS002,Platinum
608031,Credit,ISS003,Classic
608032,Credit,ISS003,Business
608033,Credit,ISS003,Platinum
608111,Debit,ISS001,Classic
608112,Debit,ISS001,Business
608113,Debit,ISS001,Platinum
608121,Debit,ISS002,Classic
608122,Debit,ISS002,Business
608123,Debit,ISS002,Platinum
608131,Debit,ISS003,Classic
608132,Debit,ISS003,Business
608133,Debit,ISS003,Platinum
608211,Prepaid,ISS001,Classic
608212,Prepaid,ISS001,Business
608213,Prepaid,ISS001,Platinum
608221,Prepaid,ISS002,Classic
608222,Prepaid,ISS002,Business
608223,Prepaid,ISS002,Platinum
608231,Prepaid,ISS003,Classic
608232,Prepaid,ISS003,Business
608233,Prepaid,ISS003,Platinum
