card_id,customer_id,BIN
CARD0001,CUST0001,608111
CARD0002,CUST0002,608032
CARD0003,CUST0003,608121
CARD0004,CUST0004,608222
CARD0005,CUST0005,608032
CARD0006,CUST0006,608111
CARD0007,CUST0007,608221
CARD0008,CUST0008,608211
CARD0009,CUST0009,608113
CARD0010,CUST0010,608131
CARD0011,CUST0011,608133
CARD0012,CUST0012,608132
CARD0013,CUST0013,608113
CARD0014,CUST0014,608122
CARD0015,CUST0015,608223
CARD0016,CUST0016,608133
CARD0017,CUST0017,608112
CARD0018,CUST0018,608113
CARD0019,CUST0019,608222
CARD0020,CUST0020,608123
CARD0021,CUST0021,608033
CARD0022,CUST0022,608111
CARD0023,CUST0023,608033
CARD0024,CUST0024,608032
CARD0025,CUST0025,608021
CARD0026,CUST0026,608223
CARD0027,CUST0027,608031
CARD0028,CUST0028,608112
CARD0029,CUST0029,608021
CARD0030,CUST0030,608223
CARD0031,CUST0031,608133
CARD0032,CUST0032,608231
CARD0033,CUST0033,608222
CARD0034,CUST0034,608023
CARD0035,CUST0035,608031
CARD0036,CUST0036,608031
CARD0037,CUST0037,608223
CARD0038,CUST0038,608131
CARD0039,CUST0039,608033
CARD0040,CUST0040,608223
CARD0041,CUST0041,608211
CARD0042,CUST0042,608231
CARD0043,CUST0043,608132
CARD0044,CUST0044,608212
CARD0045,CUST0045,608111
CARD0046,CUST0046,608021
CARD0047,CUST0047,608233
CARD0048,CUST0048,608031
CARD0049,CUST0049,608111
CARD0050,CUST0050,608032
CARD0051,CUST0051,608113
CARD0052,CUST0052,608023
CARD0053,CUST0053,608111
CARD0054,CUST0054,608011
CARD0055,CUST0055,608222
CARD0056,CUST0056,608133
CARD0057,CUST0057,608022
CARD0058,CUST0058,608033
CARD0059,CUST0059,608012
CARD0060,CUST0060,608012
CARD0061,CUST0061,608133
CARD0062,CUST0062,608111
CARD0063,CUST0063,608222
CARD0064,CUST0064,608022
CARD0065,CUST0065,608213
CARD0066,CUST0066,608231
CARD0067,CUST0067,608131
CARD0068,CUST0068,608021
CARD0069,CUST0069,608011
CARD0070,CUST0070,608211
CARD0071,CUST0071,608111
CARD0072,CUST0072,608131
CARD0073,CUST0073,608131
CARD0074,CUST0074,608123
CARD0075,CUST0075,608112
CARD0076,CUST0076,608023
CARD0077,CUST0077,608012
CARD0078,CUST0078,608033
CARD0079,CUST0079,608131
CARD0080,CUST0080,608021
CARD0081,CUST0081,608233
CARD0082,CUST0082,608013
CARD0083,CUST0083,608121
CARD0084,CUST0084,608131
CARD0085,CUST0085,608013
CARD0086,CUST0086,608211
CARD0087,CUST0087,608213
CARD0088,CUST0088,608221
CARD0089,CUST0089,608012
CARD0090,CUST0090,608022
CARD0091,CUST0091,608022
CARD0092,CUST0092,608232
CARD0093,CUST0093,608211
CARD0094,CUST0094,608111
CARD0095,CUST0095,608013
CARD0096,CUST0096,608032
CARD0097,CUST0097,608021
CARD0098,CUST0098,608133
CARD0099,CUST0099,608231
CARD0100,CUST0100,608122
CARD0101,CUST0078,608212
CARD0102,CUST0080,608032
CARD0103,CUST0100,608132
CARD0104,CUST0049,608123
CARD0105,CUST0057,608111
CARD0106,CUST0076,608122
CARD0107,CUST0040,608211
CARD0108,CUST0080,608012
CARD0109,CUST0079,608223
CARD0110,CUST0013,608231
CARD0111,CUST0027,608213
CARD0112,CUST0028,608033
CARD0113,CUST0085,608013
